                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8567,                 3.9107,                 1.7403,                0.00269,                0.61429,                0.09968,                0.04507,                 1.8828,                 4.1689,                 1.9381,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.6533,                  3.109,                  1.532,                0.00348,                0.73333,                0.25587,                0.09535,                 1.6744,                 3.5077,                 1.4322,              0.0002498,              0.0002498,              0.0002498
                      3,                 1.6109,                 2.3436,                 1.4396,                 0.5738,                0.45346,                 0.4181,                0.21629,                 1.4948,                 3.1821,                 1.2815,             0.00038265,             0.00038265,             0.00038265
                      4,                 1.5025,                  2.055,                 1.3537,                0.73953,                0.19784,                0.42812,                0.19062,                 1.5476,                  3.299,                 1.3865,             0.00051524,             0.00051524,             0.00051524
                      5,                 1.5196,                 1.8972,                  1.362,                 0.0042,                0.83333,                0.37212,                0.20432,                 1.4989,                 3.3142,                 1.3682,             0.00064756,             0.00064756,             0.00064756
                      6,                 1.5447,                 1.8975,                 1.3523,                0.32477,                0.17381,                0.24064,                0.11485,                 1.7136,                 3.5459,                 1.6418,             0.00077961,             0.00077961,             0.00077961
                      7,                 1.4767,                 1.8223,                 1.3205,                0.45004,                0.24286,                0.40801,                0.23333,                 1.5751,                 2.9948,                 1.4359,              0.0009114,              0.0009114,              0.0009114
                      8,                 1.4332,                 1.7127,                 1.3442,                0.44411,                0.42147,                0.52296,                0.27427,                 1.6408,                  2.789,                 1.4867,              0.0010429,              0.0010429,              0.0010429
                      9,                 1.4373,                   1.63,                 1.3753,                0.48855,                0.44163,                0.62255,                 0.3445,                 1.5148,                 2.6386,                 1.4177,              0.0011742,              0.0011742,              0.0011742
                     10,                 1.4147,                 1.5801,                 1.3111,                0.66551,                0.66355,                0.64318,                0.32139,                 1.6421,                 2.3857,                 1.4288,              0.0013052,              0.0013052,              0.0013052
                     11,                 1.4018,                 1.5586,                 1.3061,                0.67697,                0.59108,                0.69873,                0.33559,                 1.8011,                 2.4211,                 1.6047,              0.0014359,              0.0014359,              0.0014359
                     12,                 1.4975,                 1.5884,                 1.3438,                0.47577,                 0.5119,                0.34833,                0.13754,                 1.9266,                 3.1847,                 1.7335,              0.0015664,              0.0015664,              0.0015664
                     13,                  1.475,                 1.5743,                 1.3808,                0.38646,                0.52003,                 0.4367,                0.20324,                  1.824,                 2.4924,                 1.6113,              0.0016472,              0.0016472,              0.0016472
                     14,                 1.5057,                 1.5148,                  1.396,                0.34982,                0.35476,                0.29444,                0.13572,                  1.937,                   2.34,                   1.66,              0.0016472,              0.0016472,              0.0016472
                     15,                 1.5055,                  1.536,                 1.3855,                0.69535,                 0.6847,                0.62227,                  0.288,                 1.8844,                 1.9484,                 1.6966,              0.0016455,              0.0016455,              0.0016455
                     16,                 1.4655,                 1.4424,                  1.367,                 0.7843,                0.69772,                0.68969,                0.31056,                 1.8592,                 2.0675,                 1.6043,              0.0016439,              0.0016439,              0.0016439
                     17,                 1.4103,                 1.3508,                 1.2916,                0.59534,                0.78345,                 0.6394,                0.31608,                 1.8201,                 1.9522,                 1.6006,              0.0016422,              0.0016422,              0.0016422
                     18,                 1.3766,                  1.271,                 1.3178,                 0.6465,                0.54919,                0.58347,                0.23552,                 1.8896,                 1.9603,                  1.692,              0.0016406,              0.0016406,              0.0016406
                     19,                 1.4426,                 1.3048,                 1.3495,                0.65119,                 0.3881,                0.43828,                0.18534,                 2.1722,                 2.1928,                 2.2273,              0.0016389,              0.0016389,              0.0016389
                     20,                 1.4357,                  1.272,                 1.3482,                0.52559,                 0.4898,                0.42937,                0.19721,                 1.9029,                 2.1124,                 1.7726,              0.0016373,              0.0016373,              0.0016373
                     21,                 1.3831,                  1.194,                 1.3374,                0.67051,                0.73363,                0.59617,                0.28948,                 1.8471,                 1.8149,                 1.6614,              0.0016356,              0.0016356,              0.0016356
                     22,                 1.3681,                  1.174,                 1.3065,                0.61537,                0.51072,                0.52816,                0.20835,                 1.9967,                 2.2979,                 1.8505,               0.001634,               0.001634,               0.001634
                     23,                 1.3214,                 1.1636,                 1.2799,                0.64953,                0.70476,                0.69428,                 0.3202,                 1.8558,                 1.5353,                 1.6836,              0.0016323,              0.0016323,              0.0016323
